"CODIGOINE";"NOMBRE";"COD_PROV";"PROVINCIA";"TIPO";"POBLACION";"INEMUNI";"HOJA_MTN25";"LONGITUD_ETRS89_REGCAN95";"LATITUD_ETRS89_REGCAN95";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD";"SUPRIMIDA_INE";"DISCREPANTE_INE"
"01001000000";"Alegría-Dulantzi";"01";"Araba/Álava";"Municipio";"2961";"01001";"0113-3";-2,51;42,84;"Detección automática";568,00;"MDT";0;0
"01001000100";"Alegría-Dulantzi";"01";"Araba/Álava";"Entidad singular";"2842";"01001";"0113-3";-2,51;42,83;"Investigación";568,00;"Investigación";0;0
"01001000101";"Alegría-Dulantzi";"01";"Araba/Álava";"Capital de municipio";"2842";"01001";"0113-3";-2,51;42,84;"Detección automática";568,00;"MDT";0;0
"01001000199";"Alegría-Dulantzi";"01";"Araba/Álava";"Diseminado";"0";"01001";"0113-3";-2,51;42,83;"Investigación";568,00;"Investigación";0;0
"01001000200";"Egileta";"01";"Araba/Álava";"Entidad singular";"119";"01001";"0138-2";-2,53;42,81;"Coordinado_IGR Poblaciones";629,00;"MDT";0;0
"01001000201";"Egileta";"01";"Araba/Álava";"Otras entidades";"119";"01001";"0138-2";-2,53;42,81;"Coordinado_IGR Poblaciones";629,00;"MDT";0;0
"01002000000";"Amurrio";"01";"Araba/Álava";"Municipio";"10346";"01002";"0086-4";-3,00;43,05;"Detección automática";217,00;"MDT";0;0
"01002000100";"Aloria";"01";"Araba/Álava";"Entidad singular";"24";"01002";"0111-2";-2,98;42,99;"Coordinado_IGR Poblaciones";382,00;"MDT";0;0
"01002000101";"Aloria";"01";"Araba/Álava";"Otras entidades";"24";"01002";"0111-2";-2,98;42,99;"Coordinado_IGR Poblaciones";382,00;"MDT";0;0
"01002000200";"Amurrio";"01";"Araba/Álava";"Entidad singular";"9256";"01002";"0086-4";-3,00;43,05;"Detección automática";217,00;"MDT";0;0
"01002000201";"Amurrio";"01";"Araba/Álava";"Capital de municipio";"9256";"01002";"0086-4";-3,00;43,05;"Detección automática";217,00;"MDT";0;0
"01002000300";"Artomaña";"01";"Araba/Álava";"Entidad singular";"63";"01002";"0111-2";-2,98;42,98;"Coordinado_IGR Poblaciones";330,00;"MDT";0;0
"01002000301";"Artomaña";"01";"Araba/Álava";"Otras entidades";"63";"01002";"0111-2";-2,98;42,98;"Coordinado_IGR Poblaciones";330,00;"MDT";0;0
